fin_year,month,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,Apr,TAMIL NADU,2935,TIRUPATHUR,202917,2474.683182,4,4,2.63,769,69,6498,2222,314,25370,75,5015,40.7813,98.3987603,538,562,129381,149049,0,141578,163745,7267,54.9874603,1957,64,19.74,0,100,0
2025-2026,Apr,TAMIL NADU,2905,VELLORE,181630,0,0,0,0,182,147,7849,0,0,37646,0,4583,0,25.3098332,0,0,132092,154433,0,145821,184488,8031,25.3098332,0,70,0,0,0,0
2025-2026,Apr,TAMIL NADU,2908,NAMAKKAL,182615,0,0,0,0,290,234,5060,0,0,63350,0,20751,0,18.58008,0,0,181175,226263,0,220168,276150,5350,18.58008,0,45,0,0,0,0
2025-2026,Apr,TAMIL NADU,2909,DHARMAPURI,300693,0,0,0,0,71,230,9274,0,0,37704,0,8344,0,6.7293415,0,0,241759,276438,0,276850,313888,9345,6.7293415,0,55,100,0,0,0
2025-2026,Apr,TAMIL NADU,2913,THANJAVUR,266872,0,0,0,0,100,455,9558,0,0,116482,0,118,0,12.12019,0,0,270863,364802,0,297399,394208,9658,12.12019,0,37,0,0,0,0
2025-2026,Apr,TAMIL NADU,2915,TIRUVARUR,173340,0,0,0,0,327,321,8027,0,0,144739,0,39,0,29.9185165,0,0,178341,270269,0,196922,292513,8354,29.9185165,0,42,0,0,0,0
2025-2026,Apr,TAMIL NADU,2916,TIRUCHIRAPPALLI,281989,0,0,0,0,750,364,6346,0,0,82697,0,5087,0,33.96219,0,0,301360,373124,0,321392,399627,7096,33.96219,0,47,19.3,0,0,0
2025-2026,Apr,TAMIL NADU,2923,RAMANATHAPURAM,444578,0,0,0,0,166,342,9662,0,0,62553,0,23,0,10.0156412,0,0,197530,243539,0,222766,271114,9828,10.0156412,0,59,26.3,0,0,0
2025-2026,Apr,TAMIL NADU,2924,VIRUDHUNAGAR,446054,0,0,0,0,45,356,2795,0,0,75424,0,118,0,16.1988902,0,0,214627,263292,0,246919,298490,2840,16.1988902,0,15,0,0,0,0
2025-2026,Apr,TAMIL NADU,2938,MAYILADUTHURAI,134945,0,0,0,0,35,198,5346,0,0,106380,0,275,0,8.24938,0,0,153072,233160,0,161544,242702,5381,8.24938,0,44,0,0,0,0
2025-2026,Apr,TAMIL NADU,2903,CUDDALORE,575532,0,0,0,0,182,232,12909,0,0,252062,0,3420,130.21534,243.0009912,0,0,418386,674959,0,469157,736683,13091,112.7856512,0,42,1.32,2.21,0,0
2025-2026,Apr,TAMIL NADU,2905,VELLORE,181630,0,0,0,0,291,87,7809,0,0,37651,0,4585,43.02661,99.3985232,0,0,132109,154461,0,145838,184514,8100,56.3719132,0,69,0,0,0,0
2025-2026,Apr,TAMIL NADU,2906,TIRUVANNAMALAI,917071,368913.1262,1,1,0,854,462,9733,34,11,149467,1,27579,182.48135,307.9118129,31,34,511028,654340,0,540256,685868,10587,125.4304629,25,40,7.3,12.06,100,0
2025-2026,Apr,TAMIL NADU,2915,TIRUVARUR,173340,0,0,0,0,723,188,7714,0,0,144737,0,39,82.34984,151.1307026,0,0,178343,270271,0,196934,292529,8437,68.7808626,0,41,0,0,0,0
2025-2026,Apr,TAMIL NADU,2932,TIRUPPUR,223459,0,0,0,0,298,20,5123,0,0,62029,0,203,48.94915,109.5548929,0,0,133585,158100,0,178586,229732,5421,60.6057429,0,49,0,0,0,0
2025-2026,Apr,TAMIL NADU,2936,TENKASI,254889,0,0,0,0,122,91,4455,0,0,62073,0,71,53.32462,86.0127898,0,0,138314,188752,0,164147,218330,4577,32.6881698,0,51,0,0,0,0
2025-2026,Apr,TAMIL NADU,2901,KANCHIPURAM,135834,0,0,0,0.2901288,936,40,2795,0,0,56934,0,2510,63.07066,115.3579988,0,0,128118,156212,0,140742,176779,3731,51.99721,0,42,0,83.5,0,0
2025-2026,Apr,TAMIL NADU,2905,VELLORE,181630,0,0,0,0,507,85,7646,0,0,37681,0,4586,46.97269,110.4536331,0,0,132271,154635,0,145864,184549,8153,63.4809431,0,69,2.7,29.28,0,0
2025-2026,Apr,TAMIL NADU,2909,DHARMAPURI,300693,0,0,0,0,337,133,9047,0,0,37697,0,8344,73.78478,166.8949597,0,0,241764,276393,0,276804,313792,9384,93.1101797,0,55,32.5,3.14,0,0
2025-2026,Apr,TAMIL NADU,2916,TIRUCHIRAPPALLI,281989,0,0,0,0,2145,170,4996,0,0,82818,0,5094,79.10731,169.18683,0,0,301930,373773,0,321426,399680,7141,90.07952,0,47,1.29,8.23,0,0
2025-2026,Apr,TAMIL NADU,2919,PUDUKKOTTAI,327563,119098.4619,2,0,0,466,125,8211,101,2,82108,0,3,117.45679,237.7462365,34,34,293390,424089,0,332457,474695,8677,120.2894465,95,35,11.94,0,100,0
2025-2026,Apr,TAMIL NADU,2923,RAMANATHAPURAM,444578,800.0205661,4,19,0,520,193,9429,5070,763,62560,0,23,95.67572,136.2367627,1045,1111,197547,243560,0,222772,271125,9949,40.5610427,4465,59,22.23,3.32,100,0
2025-2026,Apr,TAMIL NADU,2928,KANNIYAKUMARI,53165,55.84134615,7,2,0,64,87,2144,624,16,4094,0,225,40.30187,40.65032,88,109,38119,47146,0,76825,94339,2208,0.34845,412,55,1.48,0,100,0
2025-2026,Apr,TAMIL NADU,2932,TIRUPPUR,223459,783.6809693,3,9,0,511,19,4963,7851,2640,62035,0,203,48.94915,110.4759429,2099,2129,133602,158126,0,178612,229769,5474,61.5267929,6936,49,35.86,15.63,0,0
2025-2026,Apr,TAMIL NADU,2908,NAMAKKAL,182615,0,0,0,0.04995,437,150,4910,0,0,63350,0,20751,71.90064,103.14229,0,0,181179,226268,0,220170,276147,5347,31.1917,0,45,0,0,0,0
2025-2026,Apr,TAMIL NADU,2909,DHARMAPURI,300693,0,0,0,0,262,143,9113,0,0,37704,0,8344,72.68078,155.0139144,0,0,241763,276441,0,276865,313902,9375,82.3331344,0,55,35.13,1.49,0,0
2025-2026,Apr,TAMIL NADU,2915,TIRUVARUR,173340,0,0,0,0,841,157,7627,0,0,144928,0,39,91.49243,172.2878231,0,0,178838,270883,0,196936,292532,8468,80.7953931,0,41,0.16,0,0,0
2025-2026,Apr,TAMIL NADU,2919,PUDUKKOTTAI,327563,0,0,0,0,383,140,8291,0,0,82108,0,3,106.99545,225.4322365,0,0,293391,424090,0,332457,474695,8674,118.4367865,0,36,0,0,0,0
2025-2026,Apr,TAMIL NADU,2924,VIRUDHUNAGAR,446054,0,0,0,0,280,279,2558,0,0,75569,0,118,68.16208,99.5849895,0,0,215396,264148,0,246920,298493,2838,31.4229095,0,15,0.21,0,0,0
2025-2026,Apr,TAMIL NADU,2927,THOOTHUKKUDI,275758,0,0,0,0,148,110,5492,0,0,58573,0,154,80.76864,175.7429113,0,0,149895,177253,0,170911,211725,5640,94.9742713,0,19,7.19,7.51,0,0
2025-2026,Apr,TAMIL NADU,2931,ARIYALUR,194848,0,0,0,0,793,50,3781,0,0,56470,0,3022,41.94487,205.8903016,0,0,179781,254609,0,192034,268227,4574,163.9454316,0,50,0,0,0,0
2025-2026,Apr,TAMIL NADU,2906,TIRUVANNAMALAI,917071,348211.3371,1,1,0,1367,419,9224,38,12,149595,1,27596,201.89808,334.2183881,35,38,511961,655343,0,540257,685871,10591,132.3203081,29,40,6.82,9.49,100,0
2025-2026,Apr,TAMIL NADU,2917,KARUR,201390,0,0,0,0,37,24,5804,0,0,36323,0,25,41.91972,157.399612,0,0,123776,154519,0,142649,177289,5841,115.479892,0,72,0,0,0,0
2025-2026,Apr,TAMIL NADU,2919,PUDUKKOTTAI,327563,0,0,0,0,364,170,8303,0,0,82104,0,3,106.99545,209.7915635,0,0,293388,424084,0,332457,474695,8667,102.7961135,0,36,0,0,0,0
2025-2026,Apr,TAMIL NADU,2922,DINDIGUL,389734,0,0,0,0,1194,48,14354,0,0,82642,0,358,68.88469,313.173078,0,0,281011,340201,0,313663,375168,15548,244.288388,0,78,28.52,10.85,0,0
2025-2026,Apr,TAMIL NADU,2924,VIRUDHUNAGAR,446054,0,0,0,0,188,280,2650,0,0,75426,0,118,68.16208,99.5188295,0,0,214633,263300,0,246920,298493,2838,31.3567495,0,15,0.25,0,0,0
2025-2026,Apr,TAMIL NADU,2925,SIVAGANGAI,431184,673100.941,1,0,0,139,169,9733,10,1,45560,0,19,135.73031,203.0404041,10,10,185965,220762,0,201951,238279,9872,67.3100941,10,41,1.11,9,100,0
2025-2026,Apr,TAMIL NADU,2931,ARIYALUR,194848,0,0,0,0,667,72,3907,0,0,56469,0,3022,41.94487,183.0839916,0,0,179779,254605,0,192031,268221,4574,141.1391216,0,50,0,0,0,0
2025-2026,Apr,TAMIL NADU,2932,TIRUPPUR,223459,0,0,0,0,350,19,5071,0,0,62030,0,203,48.94915,110.0913929,0,0,133586,158102,0,178589,229738,5421,61.1422429,0,49,0,0,0,0
2025-2026,Apr,TAMIL NADU,2934,RANIPET,282759,0,0,0,0,230,111,4789,0,0,54382,0,2224,56.56745,97.0985696,0,0,157162,217843,0,182409,247435,5019,40.5311196,0,50,0,0,0,0
2025-2026,Apr,TAMIL NADU,2905,VELLORE,181630,0,0,0,0,507,85,7640,0,0,37681,0,4586,46.97269,110.4536331,0,0,132271,154635,0,145864,184549,8147,63.4809431,0,69,2.7,29.28,0,0
2025-2026,Apr,TAMIL NADU,2909,DHARMAPURI,300693,0,0,0,0,337,133,9061,0,0,37697,0,8344,73.78478,166.8949597,0,0,241764,276393,0,276804,313792,9398,93.1101797,0,55,32.5,3.14,0,0
2025-2026,Apr,TAMIL NADU,2916,TIRUCHIRAPPALLI,281989,0,0,0,0,2145,170,4995,0,0,82818,0,5094,79.10731,169.18683,0,0,301930,373773,0,321426,399680,7140,90.07952,0,47,1.29,8.23,0,0
2025-2026,Apr,TAMIL NADU,2922,DINDIGUL,389734,0,0,0,0,1535,47,14017,0,0,82645,0,358,68.88469,317.473328,0,0,281020,340213,0,313694,375204,15552,248.588638,0,78,18.71,6.93,0,0
2025-2026,Apr,TAMIL NADU,2923,RAMANATHAPURAM,444578,1181.160242,4,16,0,520,193,9433,3434,596,62560,0,23,95.67572,136.2367627,757,792,197546,243559,0,222772,271125,9953,40.5610427,3077,59,22.53,3.55,100,0
2025-2026,Apr,TAMIL NADU,2933,CHENGALPATTU,223676,22645.56016,6,2,0,725,108,6562,745,419,103520,14,4236,71.46863,240.1780532,111,125,194747,238714,0,218965,278386,7287,168.7094232,615,50,0,0.03,100,0
2025-2026,Apr,TAMIL NADU,2934,RANIPET,282759,25066.58617,6,0,0,422,110,4657,162,0,54475,0,2250,56.56745,97.1753196,27,27,157629,218369,0,182410,247436,5079,40.6078696,156,50,0,0.48,0,0
2025-2026,Apr,TAMIL NADU,2936,TENKASI,254889,0,0,0,0,257,91,4423,0,0,62094,0,71,57.02402,98.9500483,0,0,138332,188811,0,164156,218373,4680,41.9260283,0,52,0,0,0,0
2025-2026,Apr,TAMIL NADU,2904,VILLUPURAM,565553,615.8168219,5,67,3.9974,1050,130,9702,27617,9715,176387,707,6854,167.49232,341.5598517,4802,5187,427923,598105,0,458185,640498,10752,170.0701317,22802,43,12.98,3.35,100,0
2025-2026,Apr,TAMIL NADU,2905,VELLORE,181630,876.9800876,4,43,0,552,46,7708,9928,2913,37681,900,4594,48.42381,135.4903931,2154,2230,132286,154657,0,145882,184569,8260,87.0665831,8403,68,15.49,15.77,100,0
2025-2026,Apr,TAMIL NADU,2906,TIRUVANNAMALAI,917071,722.7435129,5,66,0,2223,242,8799,32036,7933,149612,630,27597,201.89808,433.4361918,5426,5849,511983,655394,0,540298,685940,11022,231.5381118,26001,41,11.53,7.2,100,0
2025-2026,Apr,TAMIL NADU,2916,TIRUCHIRAPPALLI,281989,1344.207887,5,14,0,2291,86,5046,8673,1819,82821,97,5094,79.10731,195.69046,1519,1617,301943,373792,0,321426,399683,7337,116.58315,7324,48,12.67,7.84,100,0
2025-2026,Apr,TAMIL NADU,2933,CHENGALPATTU,223676,879.6786693,8,53,0,1208,21,6223,28826,14234,103544,513,4237,71.46863,325.0448032,3439,3621,194772,238762,0,219038,278488,7431,253.5761732,24252,50,8.39,8.53,100,0
2025-2026,Apr,TAMIL NADU,2904,VILLUPURAM,565553,613.7485827,5,71,3.9974,1056,96,9709,31807,10960,176393,751,6852,167.49232,366.7047317,5358,5834,427912,598098,0,458203,640524,10765,195.2150117,25979,43,12.85,3.15,100,0
2025-2026,Apr,TAMIL NADU,2918,PERAMBALUR,130491,434.5588047,5,44,3.5266271,256,8,1930,22765,6889,55017,21,493,30.78198,133.235919,4202,4522,122579,174510,0,142850,197707,2186,98.9273119,19073,48,21.41,14.41,100,0
2025-2026,Apr,TAMIL NADU,2920,MADURAI,500069,1450.606839,5,76,0,1295,78,11796,23043,4316,66761,66,659,107.43493,441.698264,4478,4604,271755,319615,0,299401,360086,13091,334.263334,20582,60,12.28,6.5,100,0
2025-2026,Apr,TAMIL NADU,2925,SIVAGANGAI,431184,1518.655139,4,7,0,317,109,9597,5879,1739,45556,0,19,135.88043,225.1621656,1224,1249,185968,220749,0,201943,238241,9914,89.2817356,5451,41,9.52,7.84,100,0
2025-2026,Apr,TAMIL NADU,2936,TENKASI,254889,553.9586164,6,33,0,291,25,4570,17209,3769,62099,0,71,57.02402,152.3547583,2694,2870,138365,188864,0,164200,218460,4861,95.3307383,13945,54,14.76,12.23,100,0
2025-2026,Apr,TAMIL NADU,2907,SALEM,324582,1529.486912,4,27,58.4620205,782,100,12708,8092,1181,80929,503,30092,99.7897,282.0178014,1634,1679,340996,422334,0,437240,530199,13490,123.7660809,7230,57,7.94,6.01,100,0
2025-2026,Apr,TAMIL NADU,2908,NAMAKKAL,182615,311.8979386,5,86,0.04995,633,8,4947,31726,7640,63361,2020,20752,89.55051,188.5532,6040,6121,181198,226300,0,220227,276223,5580,98.95274,28567,45,22.94,34.78,100,0
2025-2026,Apr,TAMIL NADU,2918,PERAMBALUR,130491,432.4691231,5,45,3.5266271,269,8,1924,22875,6929,55017,21,493,30.78198,133.235919,4223,4544,122579,174510,0,142852,197709,2193,98.9273119,19171,48,18.33,12.34,100,0
2025-2026,Apr,TAMIL NADU,2923,RAMANATHAPURAM,444578,395.8653655,5,179,0,752,92,9292,32994,6158,62568,8,23,96.22018,226.8319987,6544,6842,197572,243594,0,222786,271146,10044,130.6118187,28526,59,11.5,13.48,100,0
2025-2026,Apr,TAMIL NADU,2924,VIRUDHUNAGAR,446054,397.3223279,4,150,0,440,174,2427,26930,7662,75599,7,118,79.45075,186.4496529,5922,6043,215427,264226,0,246989,298614,2867,106.9989029,22930,15,5.99,14.48,100,0
2025-2026,Apr,TAMIL NADU,2933,CHENGALPATTU,223676,756.211935,8,70,0,1430,8,6082,37473,18102,103548,768,4237,71.46863,354.8439284,4260,4495,194775,238766,0,219045,278493,7512,283.3752984,31232,51,12.77,11.83,100,0
2025-2026,Apr,TAMIL NADU,2935,TIRUPATHUR,202917,675.7061369,5,21,2.63,1460,23,6025,13849,1983,25374,392,5015,40.7813,136.9898429,2552,2668,129393,149067,0,141602,163775,7485,93.5785429,12032,64,10.29,8.43,100,0
2025-2026,Apr,TAMIL NADU,2901,KANCHIPURAM,135834,376.8524051,4,100,0.2901288,1086,3,2802,45486,16825,56945,976,2512,63.07066,234.7758738,9453,9570,128136,156243,0,140853,176907,3888,171.415085,40642,44,23.42,44.14,100,0
2025-2026,Apr,TAMIL NADU,2904,VILLUPURAM,565553,520.9155418,6,81,3.9974,1119,91,9672,40427,13995,176309,973,6851,167.49232,382.0802461,6032,6612,427890,597810,0,458165,640223,10791,210.5905261,33042,43,12.99,3.35,100,0
2025-2026,Apr,TAMIL NADU,2906,TIRUVANNAMALAI,917071,591.6655828,6,80,0,2307,197,8934,47949,12137,149604,1007,27598,201.89808,485.5958103,7542,8144,511988,655395,0,540321,685956,11241,283.6977303,39043,41,11.24,6.42,100,0
2025-2026,Apr,TAMIL NADU,2906,TIRUVANNAMALAI,917071,505.7244336,6,117,0,2432,167,8925,65628,17312,149607,1652,27599,201.89808,533.7949113,9409,10153,512000,655423,0,540351,686004,11357,331.8968313,53554,41,11.06,7.27,100,0
2025-2026,Apr,TAMIL NADU,2907,SALEM,324582,839.3822104,5,46,58.4620205,1254,52,12342,18354,3075,80931,854,30095,99.7897,312.3119314,3524,3677,341015,422374,0,437313,530300,13596,154.0602109,16077,57,7.85,6.53,100,0
2025-2026,Apr,TAMIL NADU,2908,NAMAKKAL,182615,270.2777419,6,144,0.04995,752,8,4923,57341,13117,63367,4558,20752,89.55051,244.58042,9499,9671,181212,226318,0,220242,276240,5675,154.97996,51349,44,23.51,33.12,100,0
2025-2026,Apr,TAMIL NADU,2909,DHARMAPURI,300693,679.0278942,6,22,3.25305,535,85,9011,24822,2720,37703,1361,8345,73.78478,245.5861339,3957,4062,241776,276406,0,276835,313827,9546,168.5483039,23124,56,23.15,20.37,100,0
2025-2026,Apr,TAMIL NADU,2912,THE NILGIRIS,69877,425.9712986,6,12,0,463,1,1930,8571,3037,11442,977,3478,28.13095,64.64095,1299,1379,30417,38771,0,55553,67883,2393,36.51,6554,84,17.9,18.24,100,0
2025-2026,Apr,TAMIL NADU,2915,TIRUVARUR,173340,768.7797258,7,29,2.3745722,3826,83,4935,18200,6573,144942,0,39,91.8463,234.1387823,2413,2969,178858,270939,0,197020,292667,8761,139.9179101,12763,42,23.74,3.72,100,0
2025-2026,Apr,TAMIL NADU,2924,VIRUDHUNAGAR,446054,358.4196966,5,188,0,490,172,2395,40107,12062,75602,12,118,79.45075,223.2021377,7752,7965,215433,264238,0,247012,298650,2885,143.7513877,34113,15,7.33,16.47,100,0
